Comment;Negative;Neutral;Positive;Compound
"TRUMP'S = HATRED & JEALOUSY = 2024 !!
Hatred has plagued man since we wore skins of fur
Beating our enemies with stick and stone.
History has proven what we refuse to learn
As the seeds of hate by dispute are sown.

It's a fact, hate has been caused by religion
Or by those of different pigment of skin.
It's also a fact it's mostly jealousy
Mixed with the stupidity of sin.

If hatred consumes you refuse it control
For only then can you begin to live.
We don't have to remain wicked and spiteful
We just have to be willing to forgive.

Our riches can certainly grow their own wings
Though it's love that keeps us happy not things.
When we become rich beyond our wildest dreams
That's when hate always pursues us it seems.

By Tom Zart!";0.293;0.593;0.114;-0.9879
USA! You go americans! Go get'em your smart, brave, corageous, supertolerant, accepting, culture loving, generous, wealthy, beautiful ❤️🤩 people, and don't forget....... Your the Home OF The Freeeeee!;0.0;0.47;0.53;0.9746
#45 can recognize winning and loosing but did not recognize when he LOST.;0.235;0.638;0.128;-0.4309
So 47% of registered republicans in NH either voted against Trump or stayed home. Pretty lame showing. No wonder Nikki scares him.;0.235;0.539;0.226;0.186
Of course they infiltrated like commumist, because they are. Russia selling cheap oil to china, instead to europe and us, is the biggest thing biden did.;0.0;0.909;0.091;0.3612
Nikki Haley videos blocks comments. What a shocker why….;0.333;0.667;0.0;-0.3612
Nikki Haley is delusional. Hopefully she’ll take the hint when South Carolina votes for Trump!;0.0;0.824;0.176;0.4574
Trump 2024;0.0;1.0;0.0;0.0
How do we know the vote wasn’t rigged?;0.263;0.737;0.0;-0.3612
That primary election was STOLEN from Haley;0.396;0.604;0.0;-0.6037
"特朗普当总统，世界才会和平。
看看拜登当总统这几年，世界秩序大乱，到处都是大战。
特朗普之前当总统，世界没有大战，他是唯一没有发动战争的美国总统，诺贝尔和平奖应该颁给他。
我敢打赌，只要特朗普当选总统，俄乌战争会结束，中东战争也会结束，世界会迎来和平，世界秩序会回到原来的轨道，而且特朗普比拜登更关注美国国内的发展。";0.0;1.0;0.0;0.0
Ppl are celebrating trump now ,especially his plan to send ppl back home,I think this is a blessing to the ppl that cross the boarder and immigrant, cause what Russia have plans for this country ,it will be worse than 9 11,so congrats mr trump,do God's work send them home,all of us home,u doing God's work;0.047;0.795;0.157;0.802
she lost you by a close margin trump...this is about usa not each other for the sake of good of all UNITE🙏;0.085;0.809;0.107;0.1531
"😂 Take a vacation and enjoy FREEDOM you might not make it to the debates and be in jail for so many crimes commited 😢 violation to NOT SWEAR UNDER OATH TO SERVE AND PROTECT THIS NATION 😅 OUT OF YOUR OWN MOUTH THAT CAME OUT....ASKING FOR A LICENCE TO COMMIT CRIMES AND BE PARDON AS LONG AS IT WAS DURING THE PRESIDENCY 😅 
THE MOST RIDICULOUS MOTION EVER HEARD BY A JUDGE 😅
YOU CREATED INSURRECTION AND HERO POLICE OFFICERS DIED DUE TO YOUR SPEACH ASKING YOUR FOLLOWERS TO MARCH AND STORM IN ON THE CAPITAL.";0.113;0.634;0.253;0.9623
“Tax my pay! Tax my pay! Tax my pay!”;0.344;0.656;0.0;-0.3971
"What an absolute toad Trump is, and that’s being nice.

Those of you who thought of backing Haley, you see and read what Trump thinks of you. Come over to Biden’s camp, all are welcome even if they don’t agree w/ some of the man’s policies. At least you won’t be spoken of in insulting terms day and night.";0.048;0.811;0.141;0.6369
Voters wont elect a manic;0.0;1.0;0.0;0.0
And Biden will lose as well.;0.307;0.455;0.239;-0.1531
Hey Nikki you're so fine, you're so fine you blow my mind, hey Nikki, hey Nikki! I don't know why Trump was complaining that Nikki was acting like she won when she really lost. He got a taste of his own medicine. Why bother to complain about her dress? The perfect revenge is to have his wife show up to support him in one of Trump's rallies and outclass her. I expect that if Nikki surprises all the pundits and becomes President, Trump will do his usual flip and  graciously thank Nikki for pardoning Trump for his felonies.;0.129;0.651;0.22;0.89
Trump let's goooo;0.0;1.0;0.0;0.0
Look at Haley closing the gap between her and Diaper Don the Con.;0.0;1.0;0.0;0.0
honestly, i watched the guy behind Trump!;0.0;0.646;0.354;0.5093
Preach love and emancipation but promote hate and intolerance and thou shalt be embraced by the blessed arms of our lord and savior Donald Trump and walk amongst His appointed through the golden gates of Mar A-Lago. Amen.;0.103;0.697;0.2;0.5719
Well, to be fair, he didnt win Witherspoon 2016 or 2020,!,;0.195;0.507;0.298;0.1581
What is happening to his face 😱😱😱;0.592;0.408;0.0;-0.9468
Not even a democrat or republican…or an American for that fact…just wanna see this monster debate;0.0;1.0;0.0;0.0
Don't look up.;0.0;1.0;0.0;0.0
"""I don't get too angry, I get even."" Savage Comeback 😆 MAGATrump2024";0.156;0.573;0.271;0.2964
This is why i love Pres. Trump. He knows how to strip someone acting condescending..  Nothing's boring with Pres. Trump. Great people have peculiar personalities..;0.069;0.633;0.298;0.8225
Trump, you must prepare yourself for your future loss.  Biden will be re-elected. You will lose and life will go on. You will not have a good year so get a lot of rest you're going to need it.;0.171;0.829;0.0;-0.7511
Hahah trump is the manmm🎉🎉🎉🎉🎉🎉🎉;0.0;0.388;0.612;0.9509
Trump 2024;0.0;1.0;0.0;0.0
"Nikki never had anything to stand on in the first place.
🎆Trump 🎆will always be number 1.🎆";0.0;0.929;0.071;0.0772
Trump is good at roasting. What the United States needs is a leader who brings out the positive in people and connects people.;0.0;0.683;0.317;0.8519
"70% of the registered Republicans voted for Trump in NH. Only 27% did for Haley.
She got 70% of the undeclared and most of those were Democrat voters who admitted they are Democrats and will Vote for Biden, just choose to try and get Nikki because they think she can be beat more easily. That tells you all you need to know.";0.0;0.936;0.064;0.4754
Nikki didnt lose by much in New Hampshire and that is the fact;0.0;0.842;0.158;0.3089
The next President USA 2024 D. TRUMP. Trust and confident... No doubt. He's the man standing on his decision will make USA future hope advance  and life more glitter.;0.0;0.685;0.315;0.8888
I recall Donny celebrating after losing to Biden;0.211;0.488;0.301;0.2732
Way to go Nikki, right out of Trump's own playbook don't admit defeat. The primaries must have been rigged. Etc etc yada yada yada;0.148;0.762;0.09;-0.1561
RIP Nikki Haley;0.0;1.0;0.0;0.0
"Well, now she can go home. Guess she doesn't understand America can't afford an ""on the job trainee"" right now. Surely, she is aware. There is alot of work to be done. This is a serious job and Americans want Trump for the job. Pretty simple.";0.025;0.792;0.183;0.802
Trump was expected to continue his lying / winning spree. Too bad his supporters dont know any better;0.325;0.454;0.22;-0.4599
USA had to eat popo in order to appreciate trump;0.0;0.769;0.231;0.4019
Trump says she came in second and doesn’t have the guts to admit she lost? What is wrong with this picture ?   Trump lost to Biden.  Bigly.  And HE doesn’t have the guts to admit he lost in a fair election!😂;0.212;0.624;0.164;-0.4314
Let's go dad let's go dad let's go Dad;0.0;1.0;0.0;0.0
“I don’t get too angry, I get even”;0.32;0.68;0.0;-0.5106
Ron will be a next president lol after Trump hahaha;0.0;0.556;0.444;0.7506
"Article 4, section 4 of our Constitution
Requires our Government to protect and defend
our Borders. If Government does not, the
Constitution, by virtue of named part herein,
authorizes the Free Citizens to defend
themselves and their State in place of
Treasonous Government.
Note in not defending our borders, Government,
Gives Aid and Comfort to a Hostile Foreign
invasion, and this, under Article 3, Section 3 of
our Constitution is properly labeled as treason. Biden needs locked up for treason";0.127;0.756;0.118;-0.2263
It’s weird in Nevada they are already mailing out voting ballots on every house  and Trump is NOT even on a pick lists 0:16 on voting for president , I see Mike pence there and 7other candidates so I’m not mailing it back out, I’m only voting for Trump!;0.04;0.96;0.0;-0.2481
TRUMP 2024. BIDUM IS ON GERITOL;0.0;1.0;0.0;0.0
Congratulations president Trump 2024 make America great again USA 🇺🇸;0.0;0.5;0.5;0.8402
Orange man good. 🧡;0.0;0.297;0.703;0.7964
Make it great again by Donald trump;0.0;0.594;0.406;0.6249
I would caution Tim Scott the RiNO. He wasn’t always a President Trump fan and he waited for a long time to be by his side. That said he just got engaged to a white women and I am sure he has a lot to prove.;0.0;0.855;0.145;0.743
So Jeb and Joe are low energy, but Sununu is too high energy? Boy, it’s really hard to to pin down the requirements of this orange doofus.;0.117;0.747;0.136;0.1557
I'm a big supporter overall of Trump... but he will not win the Presidential Election because the exact same problems from the counting of votes in 2020 still exits today. Nothing has been addressed, if anything they have had 4 years to get worse. Transparency (on both sides) is paramount for election integrity.;0.182;0.741;0.076;-0.8342
TRUMP 2024!!!!;0.0;1.0;0.0;0.0
Blah bllah lie blah bah lie.  If he won 2020 then he can't run in 2024.😂😂😂;0.186;0.482;0.331;0.891
Won what in 2020?;0.0;0.448;0.552;0.5719
Halie is delusional if she thinks she's fit to run office;0.0;0.8;0.2;0.3612
"How does it feel to stand behind an election-denying liar, and claim you are a man of god?  Disgraceful @3:56
And you know it.";0.12;0.803;0.077;-0.296
What did she say in her speech? I didn't see it;0.0;1.0;0.0;0.0
Wake up America. Put this man back in office.;0.0;1.0;0.0;0.0
LET US Have a debate .. We Need To Hear The Facts , PLEASE !;0.0;0.808;0.192;0.5147
"Odd that Democrats get to vote in a republican Election ?
How does that work?
It didn't go down like that in IOWA.
Odd is the small amount that are coming out for those elections,
Any Thoughts ?";0.172;0.828;0.0;-0.7391
As a Serb, I love this man and his citizens. A man who loves his country and respects other people's countries... The USA is only visible and inviting light when he leads... visible in a positive and unique way illuminated by the rays of friendship between all nations, both his own and others.  and outside the borders.  He is a man who may lose in some areas like all of us, but his character is perfect, as is his heart.;0.019;0.722;0.259;0.9692
"IN “TRUMP” WE ALL “TRUST” !!
            FROM CANADA";0.0;1.0;0.0;0.0
Mrs Haley is hanging around for the sake of her old guard donors: the Coke Bros, the buttt hurt Jeb Bush and Cheneys, and the pentagon war conglomerates throwing $$ her way. They are all hoping Haley gets the left overs if Prez Trump is hamstringed from running by the courts. They all know Haley is not presidential material but she's a puppets like Biden that can be bought and controlled for the right price.;0.058;0.879;0.064;0.128
Shane gillis is killing it;0.524;0.476;0.0;-0.6597
Instead of bashing orhers he would be better off trying to convince those definitely not voting for him what he would actually do if president again....besides tweet all day....;0.0;0.774;0.226;0.765
The exit polls show that the well off, educated republicans didn't vote for the orange clown. 45 should be worried that over 40% of Iowa caucus voters, and and 45% of NH voters didn’t vote for him.;0.052;0.805;0.143;0.5904
How did Trumbo lose in 2020 when it was his Governments voting system that he oversaw? Could he not fix it?;0.133;0.867;0.0;-0.4696
Election was stolen;0.615;0.385;0.0;-0.4939
Orange Man Rad 💪🍊🇺🇲;0.0;1.0;0.0;0.0
Biden will easily win New Hampshire and will beat Trump by a bigger landslide in 2024 than he did in 2020.;0.0;0.754;0.246;0.7351
"Fake News CNN and MSNBS never Aired this
They did Fact Check Pres Trump though with their own Fake News So called Fact Checkers who Lie";0.205;0.795;0.0;-0.7351
🇺🇸TRUMP 2024🇺🇸;0.0;1.0;0.0;0.0
Vote nikki she dont smell like pook and old spice;0.19;0.81;0.0;-0.2755
It's concerning and amusing at the same time seeing how well Trump has completely fooled his supporters into thinking he actually wants to buck the system.  He is a very good con-man, he understand human psychology.  He knows exactly what his base wants to hear and he gives that to them - words.  Everyone knows no republican has any chance to beat Trump in the primaries, and yet here they are basking and gloating in their victory.  When your choice is between two different parties running the same game on the population, you come to realize you actually have no choice at all...  You have been played by then system.;0.058;0.797;0.145;0.8709
Latest episode of the Blacklist, looks like Raymond Reddington up there with Membe ... and i like it;0.0;0.762;0.238;0.6124
Nice to see tim scott back there cheering for trump.;0.0;0.567;0.433;0.7269
Exit polling shows that 64% of Republicans in New Hampshire DO NOT identify with the fascist MAGA movement. Syphilis Don is in a lot of trouble😂;0.21;0.692;0.097;-0.5267
OK OK. Rules, people. Pro and Anti Trumpers are all good hard working loyal Americans. Let’s agree to that. Don’t attack each other. Present and debate the facts only, and then go have coffee together. When you attack the person you argue with, you expose your weaknesses. When we attack each other, only the Kremlin wins. Can I hear some AMENS here…?;0.233;0.586;0.181;-0.3328
Fake;1.0;0.0;0.0;-0.4767
Im email u;0.0;1.0;0.0;0.0
I don’t care about politics that much. I’m just tired of the shitty economic conditions we are living in. If Trump is what it takes to fix it, then he has my vote.;0.164;0.756;0.081;-0.5106
The most telling sign regarding never-Nikki : Her New Hampshire headquarters had CNN on the big screen up front> Really Nikki?;0.0;1.0;0.0;0.0
I love how Donald accuses Nikki of doing a “victory lap” when he himself has been doing a four-year victory lap since he lost the election in 2020!;0.146;0.731;0.123;0.2003
Even for write-in, Biden’s showing was absolutely pathetic. Look at Trump in 2020. He was the incumbent President facing token opposition and he still motivated nearly 130,000 people to come and vote for him. If Kennedy hadn’t pussied out and run as an Independent, he’d have given Biden a serious black eye in New Hampshire. the dirty dems shut out RFK jr. at least a 1000th as much nastiness theyve displayed against trump and at least 74 million MAGA. cant blame the leftist though, their agenda is so anti american, the results are horrible, and theyre led by corrupt people that hate God.;0.17;0.771;0.059;-0.9239
What a fool 🤣🤣🤣🤣;0.086;0.534;0.38;0.872
Goon😂;0.196;0.412;0.392;0.4404
"I laugh when I hear that we (Americans) deserve a good president.  25% of college graduates don't possess basic skills in numeracy and 20% don't possess basic skills in literacy as the Wall Street Journal recently stated in an article.

These are the bright ones.  50% of our nation has voted for Trump 2 times in a row and are heading to vote again for him. 

75% of this nation deserve the worst president money can buy.  Is it any wonder that politicians with Trump leading the charge have zero regard for the people?  How can anyone have any respect for any of us when we can barely speak, write, or count?  Look at this speech by Trump - it's not a presidential speech by any means but more akin to a rant from Grease where Rizzo complains about Sandy to the other girls.";0.061;0.886;0.053;-0.4871
Basically half the people that voted did not vote for him sorry but that's not going to cut it in the main election😊  independants arent going to vote for him.;0.027;0.732;0.241;0.8771
Tim Scott is a 🤡 Haley appointed him Senator 🙄;0.0;1.0;0.0;0.0
What about Trump doing a victory lap at the last election but he lost to Biden?  Let me just dust off my hypocrisy meter ... 💀;0.106;0.894;0.0;-0.4497
Did he even talk about the voters? This is like basic politics 1st grade level stuff. And Trump can’t do it;0.0;0.889;0.111;0.3612
Time is running out for the U.S. Keep voting for Trump and by the end of the year you will be a global laughing stock.;0.0;0.882;0.118;0.4939
Haley running up on podiums in Iowa and NH claiming victory is pandering to the low information voters that she hopes will get her numbers up there. She doesn't have a snowball's chance in Hades. 😂;0.079;0.673;0.248;0.8602
The CCP welcomes Trump’s return.;0.0;0.597;0.403;0.4019
Trump now more than ever;0.0;1.0;0.0;0.0
I lkie that Nikki irks 45! Once 45 is disqualified, who else are the Republicans going to have to run against Biden?;0.128;0.872;0.0;-0.4753
He's lying.;0.773;0.227;0.0;-0.5267
"These are the essential qualities a President of the United States should possess

Spiritually True: A strong abiding faith in God can provide the necessary optimism and faith to impart to the people the goodness and hope that is inherent **Strong in Character: A President should be honest, trustworthy, and have a strong moral compass. Wise A President should have good judgment and be able to make sound decisions.
Humble A President should be humble and willing to listen to others Defender of Natural Rights,  Liberties, & the Constitution: A President should be committed to upholding the rights and freedoms of all citizens A, President should be passionate about their work and committed to making a positive difference. Creative: A President should be creative and able to think outside the box
Patriotic,  A President should be proud of their country and committed to its success.
Vision, A President should have a clear vision for the future and be able to inspire others to work towards that vision Courageous, A President should be willing to take risks and stand up for what they believe.

Personable, A President should be approachable and able to connect with people from all walks of life.Smart, A President should be intelligent as well as intuitive.Team Oriented, A President should be able to work web with others and build strong teams.Vision: A President should have a clear vision for the future and be able to communicate that vision effectively.Pragmatism: A President should be practical and able to get things done.
Consensus building: A President should be able to bring people together and build consensus.
Charisma: A President should be able to inspire and motivate others.Trustworthiness: A President should be honest and trustworthy.😊😊";0.005;0.639;0.355;0.999
"These are the essential qualities a President of the United States should possess

Spiritually True: A strong abiding faith in God can provide the necessary optimism and faith to impart to the people the goodness and hope that is inherent **Strong in Character: A President should be honest, trustworthy, and have a strong moral compass. Wise A President should have good judgment and be able to make sound decisions.
Humble A President should be humble and willing to listen to others Defender of Natural Rights,  Liberties, & the Constitution: A President should be committed to upholding the rights and freedoms of all citizens A, President should be passionate about their work and committed to making a positive difference. Creative: A President should be creative and able to think outside the box
Patriotic,  A President should be proud of their country and committed to its success.
Vision, A President should have a clear vision for the future and be able to inspire others to work towards that vision Courageous, A President should be willing to take risks and stand up for what they believe.

Personable, A President should be approachable and able to connect with people from all walks of life.Smart, A President should be intelligent as well as intuitive.Team Oriented, A President should be able to work web with others and build strong teams.Vision: A President should have a clear vision for the future and be able to communicate that vision effectively.Pragmatism: A President should be practical and able to get things done.
Consensus building: A President should be able to bring people together and build consensus.
Charisma: A President should be able to inspire and motivate others.Trustworthiness: A President should be honest and trustworthy.😊😊";0.005;0.639;0.355;0.999
"These are the essential qualities a President of the United States should possess

Spiritually True: A strong abiding faith in God can provide the necessary optimism and faith to impart to the people the goodness and hope that is inherent **Strong in Character: A President should be honest, trustworthy, and have a strong moral compass. Wise A President should have good judgment and be able to make sound decisions.
Humble A President should be humble and willing to listen to others Defender of Natural Rights,  Liberties, & the Constitution: A President should be committed to upholding the rights and freedoms of all citizens A, President should be passionate about their work and committed to making a positive difference. Creative: A President should be creative and able to think outside the box
Patriotic,  A President should be proud of their country and committed to its success.
Vision, A President should have a clear vision for the future and be able to inspire others to work towards that vision Courageous, A President should be willing to take risks and stand up for what they believe.

Personable, A President should be approachable and able to connect with people from all walks of life.Smart, A President should be intelligent as well as intuitive.Team Oriented, A President should be able to work web with others and build strong teams.Vision: A President should have a clear vision for the future and be able to communicate that vision effectively.Pragmatism: A President should be practical and able to get things done.
Consensus building: A President should be able to bring people together and build consensus.
Charisma: A President should be able to inspire and motivate others.Trustworthiness: A President should be honest and trustworthy.";0.006;0.654;0.34;0.9988
Nikki coming after you trump;0.0;1.0;0.0;0.0
"These are the essential qualities a President of the United States should possess

Spiritually True: A strong abiding faith in God can provide the necessary optimism and faith to impart to the people the goodness and hope that is inherent **Strong in Character: A President should be honest, trustworthy, and have a strong moral compass. Wise A President should have good judgment and be able to make sound decisions.
Humble A President should be humble and willing to listen to others Defender of Natural Rights,  Liberties, & the Constitution: A President should be committed to upholding the rights and freedoms of all citizens A, President should be passionate about their work and committed to making a positive difference. Creative: A President should be creative and able to think outside the box
Patriotic,  A President should be proud of their country and committed to its success.
Vision, A President should have a clear vision for the future and be able to inspire others to work towards that vision Courageous, A President should be willing to take risks and stand up for what they believe.

Personable, A President should be approachable and able to connect with people from all walks of life.Smart, A President should be intelligent as well as intuitive.Team Oriented, A President should be able to work web with others and build strong teams.Vision: A President should have a clear vision for the future and be able to communicate that vision effectively.Pragmatism: A President should be practical and able to get things done.
Consensus building: A President should be able to bring people together and build consensus.
Charisma: A President should be able to inspire and motivate others.Trustworthiness: A President should be honest and trustworthy.";0.006;0.654;0.34;0.9988
BH! Mazal Tov Sir!;0.0;1.0;0.0;0.0
Tim Scott, a true token foe trump.;0.271;0.467;0.262;-0.0258
"Nikki Haley has to know that the majority of the votes she got were
Democrats that voted for her!
She should do the right thing and get out, so Donald J Trump can  concentrate on defeating the corrupt Anti-American Democrat party!";0.058;0.869;0.073;0.1739
Funny how Trump considers himself a winner, thinks the global warming is a hoax, and takes the USA out of the CDC... Shaking hands w Dictators...   and all along his supporters still can't see.......He's a Joke.....;0.124;0.632;0.244;0.7588
"Majestic Heavenly Father God so Eternally Beautiful Magnificent Hallowed Be Thy Name Forevermore in the Name of King of Glory Jesus Your Only Son Eternally Radiant Matchless Splendors by the Power of the Holy Spirit.. for it's not by Might Nor by Power but by Your Spirit says The Lord..

We agree for President Donald J Trump and Melania and Baron and Eric and His family and Ivanka and Her Family and Don Jr to be protected vindicated exonerated and repositioned into the Office of President USA !";0.0;0.7;0.3;0.9803
I cannot see how this will help the XYZ generation. I rather see TRUMP as Vice President....mmm;0.0;0.856;0.144;0.4019
Democrats funded NH to split the Republican & Independent voters, so we will have 4 more years of Biden. We must unite and vote Trump 2024.🇺🇸;0.0;0.864;0.136;0.6037
And Heley in her garage cheered by dems thinks that she won ..!;0.0;0.601;0.399;0.807
It's good to have a leader who can unit the whole world;0.0;0.791;0.209;0.4404
Exactly….. Nikki is not a patriot!   She is part of the deep state!! Words count.  Media is part of the deep state.  Beware ❤;0.0;0.825;0.175;0.7249
Good luck Trumpers. No candidate in history has ever won by insulting 40% of the voters in their own party. Can you say Barry Goldwater?  Hubert Humphrey? Jimmy Carter? Start making your November excuse up now.;0.111;0.597;0.291;0.829
Go Trump!;0.0;1.0;0.0;0.0
#Trump2024 😎🇺🇲❤️;0.0;0.667;0.333;0.4588
I see in a few comments that Dems voted for Haley. How does that happen? It doesn't. I spent less than 10' finding out that registered Dems cannot vote in a Republican primary. Where did you get your information?;0.0;1.0;0.0;0.0
"We need to get rid of cluess ""sue new hoo"" in NH";0.0;0.737;0.263;0.6037
#Trump2024ToSaveAmerica #CleanTheSwamp #NikkiHaleyIsADemocratPlant #StopTheHateAgainstAmericansVoteTrump;0.0;1.0;0.0;0.0
TRUMP 2024;0.0;1.0;0.0;0.0
He got new teeth? or is it he just discovered a toothbrush?;0.0;1.0;0.0;0.0
It was rigged!!! Fake voter's!!! Voting machines rigged by the chinese!!!!! Wheelbarrows full of Trump votes put in!!!! Demand a recount!!!! Threaten the workers and their families!!! And lie as much as you can!!!!. Donald J Trump. 2020.;0.288;0.712;0.0;-0.9075
Demacrooks…;0.0;1.0;0.0;0.0
Canadians for Trump 2024!;0.0;1.0;0.0;0.0
70 percent of Americans dont want to see trump or biden on the ticket.. the illusion of choice.;0.067;0.933;0.0;-0.0572
