Comment;Negative;Neutral;Positive
"Well, now she can go home. Guess she doesn't understand America can't afford an ""on the job trainee"" right now. Surely, she is aware. There is alot of work to be done. This is a serious job and Americans want Trump for the job. Pretty simple.";0.649102;0.3177934;0.033104688
Trump was expected to continue his lying / winning spree. Too bad his supporters dont know any better;0.88836193;0.097471304;0.014166851
USA had to eat popo in order to appreciate trump;0.31352466;0.514909;0.17156628
Trump says she came in second and doesn’t have the guts to admit she lost? What is wrong with this picture ?   Trump lost to Biden.  Bigly.  And HE doesn’t have the guts to admit he lost in a fair election!😂;0.9177608;0.075367756;0.0068714162
Let's go dad let's go dad let's go Dad;0.015102937;0.4139742;0.57092285
“I don’t get too angry, I get even”;0.13085258;0.6787555;0.19039184
Ron will be a next president lol after Trump hahaha;0.07116115;0.50135964;0.42747927
"Article 4, section 4 of our Constitution
Requires our Government to protect and defend
our Borders. If Government does not, the
Constitution, by virtue of named part herein,
authorizes the Free Citizens to defend
themselves and their State in place of
Treasonous Government.
Note in not defending our borders, Government,
Gives Aid and Comfort to a Hostile Foreign
invasion, and this, under Article 3, Section 3 of
our Constitution is properly labeled as treason. Biden needs locked up for treason";0.43724024;0.52675325;0.03600651
It’s weird in Nevada they are already mailing out voting ballots on every house  and Trump is NOT even on a pick lists 0:16 on voting for president , I see Mike pence there and 7other candidates so I’m not mailing it back out, I’m only voting for Trump!;0.68767166;0.2878588;0.024469534
TRUMP 2024. BIDUM IS ON GERITOL;0.03059206;0.5771075;0.3923005
Congratulations president Trump 2024 make America great again USA 🇺🇸;0.0031413923;0.0144686755;0.9823899
Orange man good. 🧡;0.004953023;0.022528445;0.9725185
Make it great again by Donald trump;0.008968615;0.08122014;0.90981126
I would caution Tim Scott the RiNO. He wasn’t always a President Trump fan and he waited for a long time to be by his side. That said he just got engaged to a white women and I am sure he has a lot to prove.;0.42277268;0.54997236;0.027254963
So Jeb and Joe are low energy, but Sununu is too high energy? Boy, it’s really hard to to pin down the requirements of this orange doofus.;0.8605932;0.12815045;0.011256323
I'm a big supporter overall of Trump... but he will not win the Presidential Election because the exact same problems from the counting of votes in 2020 still exits today. Nothing has been addressed, if anything they have had 4 years to get worse. Transparency (on both sides) is paramount for election integrity.;0.71777755;0.23267278;0.049549635
TRUMP 2024!!!!;0.015246107;0.11798576;0.8667681
Blah bllah lie blah bah lie.  If he won 2020 then he can't run in 2024.😂😂😂;0.7420851;0.22827008;0.029644787
Won what in 2020?;0.07526535;0.8692069;0.05552767
Halie is delusional if she thinks she's fit to run office;0.8491277;0.13378999;0.01708236
"How does it feel to stand behind an election-denying liar, and claim you are a man of god?  Disgraceful @3:56
And you know it.";0.94650686;0.047871236;0.005621988
What did she say in her speech? I didn't see it;0.17654419;0.80123925;0.022216573
Wake up America. Put this man back in office.;0.75804377;0.20876274;0.033193443
LET US Have a debate .. We Need To Hear The Facts , PLEASE !;0.13978805;0.7419273;0.11828461
"Odd that Democrats get to vote in a republican Election ?
How does that work?
It didn't go down like that in IOWA.
Odd is the small amount that are coming out for those elections,
Any Thoughts ?";0.6856803;0.30297297;0.011346778
As a Serb, I love this man and his citizens. A man who loves his country and respects other people's countries... The USA is only visible and inviting light when he leads... visible in a positive and unique way illuminated by the rays of friendship between all nations, both his own and others.  and outside the borders.  He is a man who may lose in some areas like all of us, but his character is perfect, as is his heart.;0.0073407767;0.035585582;0.9570736
"IN “TRUMP” WE ALL “TRUST” !!
            FROM CANADA";0.0068789306;0.1317412;0.86137986
Mrs Haley is hanging around for the sake of her old guard donors: the Coke Bros, the buttt hurt Jeb Bush and Cheneys, and the pentagon war conglomerates throwing $$ her way. They are all hoping Haley gets the left overs if Prez Trump is hamstringed from running by the courts. They all know Haley is not presidential material but she's a puppets like Biden that can be bought and controlled for the right price.;0.5441764;0.4245571;0.03126652
Shane gillis is killing it;0.011232713;0.10913306;0.8796342
Instead of bashing orhers he would be better off trying to convince those definitely not voting for him what he would actually do if president again....besides tweet all day....;0.623784;0.35201576;0.024200212
The exit polls show that the well off, educated republicans didn't vote for the orange clown. 45 should be worried that over 40% of Iowa caucus voters, and and 45% of NH voters didn’t vote for him.;0.74245846;0.237232;0.02030953
How did Trumbo lose in 2020 when it was his Governments voting system that he oversaw? Could he not fix it?;0.91361296;0.0805907;0.0057963105
Election was stolen;0.5848146;0.3801442;0.03504124
Orange Man Rad 💪🍊🇺🇲;0.004970175;0.07878341;0.9162464
Biden will easily win New Hampshire and will beat Trump by a bigger landslide in 2024 than he did in 2020.;0.00701702;0.11181384;0.88116914
"Fake News CNN and MSNBS never Aired this
They did Fact Check Pres Trump though with their own Fake News So called Fact Checkers who Lie";0.65822977;0.31616822;0.025601992
🇺🇸TRUMP 2024🇺🇸;0.013240846;0.10284573;0.8839134
Vote nikki she dont smell like pook and old spice;0.51368856;0.42878115;0.057530265
It's concerning and amusing at the same time seeing how well Trump has completely fooled his supporters into thinking he actually wants to buck the system.  He is a very good con-man, he understand human psychology.  He knows exactly what his base wants to hear and he gives that to them - words.  Everyone knows no republican has any chance to beat Trump in the primaries, and yet here they are basking and gloating in their victory.  When your choice is between two different parties running the same game on the population, you come to realize you actually have no choice at all...  You have been played by then system.;0.6861648;0.27161643;0.042218834
Latest episode of the Blacklist, looks like Raymond Reddington up there with Membe ... and i like it;0.0059556817;0.15888931;0.83515495
Nice to see tim scott back there cheering for trump.;0.055195395;0.29894656;0.645858
Exit polling shows that 64% of Republicans in New Hampshire DO NOT identify with the fascist MAGA movement. Syphilis Don is in a lot of trouble😂;0.87259144;0.11687628;0.01053221
OK OK. Rules, people. Pro and Anti Trumpers are all good hard working loyal Americans. Let’s agree to that. Don’t attack each other. Present and debate the facts only, and then go have coffee together. When you attack the person you argue with, you expose your weaknesses. When we attack each other, only the Kremlin wins. Can I hear some AMENS here…?;0.14939097;0.57648224;0.27412677
Fake;0.19925585;0.49912736;0.30161673
Im email u;0.044657566;0.7987602;0.15658233
I don’t care about politics that much. I’m just tired of the shitty economic conditions we are living in. If Trump is what it takes to fix it, then he has my vote.;0.8094995;0.16512698;0.025373502
The most telling sign regarding never-Nikki : Her New Hampshire headquarters had CNN on the big screen up front> Really Nikki?;0.12507701;0.7356837;0.1392394
I love how Donald accuses Nikki of doing a “victory lap” when he himself has been doing a four-year victory lap since he lost the election in 2020!;0.6801079;0.23964094;0.080251165
Even for write-in, Biden’s showing was absolutely pathetic. Look at Trump in 2020. He was the incumbent President facing token opposition and he still motivated nearly 130,000 people to come and vote for him. If Kennedy hadn’t pussied out and run as an Independent, he’d have given Biden a serious black eye in New Hampshire. the dirty dems shut out RFK jr. at least a 1000th as much nastiness theyve displayed against trump and at least 74 million MAGA. cant blame the leftist though, their agenda is so anti american, the results are horrible, and theyre led by corrupt people that hate God.;0.8358004;0.14571002;0.018489517
What a fool 🤣🤣🤣🤣;0.86059344;0.105041474;0.03436512
Goon😂;0.08941307;0.6037528;0.30683413
"I laugh when I hear that we (Americans) deserve a good president.  25% of college graduates don't possess basic skills in numeracy and 20% don't possess basic skills in literacy as the Wall Street Journal recently stated in an article.

These are the bright ones.  50% of our nation has voted for Trump 2 times in a row and are heading to vote again for him. 

75% of this nation deserve the worst president money can buy.  Is it any wonder that politicians with Trump leading the charge have zero regard for the people?  How can anyone have any respect for any of us when we can barely speak, write, or count?  Look at this speech by Trump - it's not a presidential speech by any means but more akin to a rant from Grease where Rizzo complains about Sandy to the other girls.";0.5358087;0.30236873;0.16182259
Basically half the people that voted did not vote for him sorry but that's not going to cut it in the main election😊  independants arent going to vote for him.;0.8588444;0.1326736;0.008481992
Tim Scott is a 🤡 Haley appointed him Senator 🙄;0.9273457;0.06373225;0.00892205
What about Trump doing a victory lap at the last election but he lost to Biden?  Let me just dust off my hypocrisy meter ... 💀;0.8137586;0.17204101;0.014200405
Did he even talk about the voters? This is like basic politics 1st grade level stuff. And Trump can’t do it;0.8801737;0.1099179;0.009908396
Time is running out for the U.S. Keep voting for Trump and by the end of the year you will be a global laughing stock.;0.9330787;0.058050685;0.008870622
Haley running up on podiums in Iowa and NH claiming victory is pandering to the low information voters that she hopes will get her numbers up there. She doesn't have a snowball's chance in Hades. 😂;0.64130765;0.30501455;0.053677827
The CCP welcomes Trump’s return.;0.04337369;0.48467928;0.47194707
Trump now more than ever;0.43877146;0.4101772;0.1510513
I lkie that Nikki irks 45! Once 45 is disqualified, who else are the Republicans going to have to run against Biden?;0.7876423;0.19670983;0.015647892
He's lying.;0.67824596;0.2922335;0.029520568
"These are the essential qualities a President of the United States should possess

Spiritually True: A strong abiding faith in God can provide the necessary optimism and faith to impart to the people the goodness and hope that is inherent **Strong in Character: A President should be honest, trustworthy, and have a strong moral compass. Wise A President should have good judgment and be able to make sound decisions.
Humble A President should be humble and willing to listen to others Defender of Natural Rights,  Liberties, & the Constitution: A President should be committed to upholding the rights and freedoms of all citizens A, President should be passionate about their work and committed to making a positive difference. Creative: A President should be creative and able to think outside the box
Patriotic,  A President should be proud of their country and committed to its success.
Vision, A President should have a clear vision for the future and be able to inspire others to work towards that vision Courageous, A President should be willing to take risks and stand up for what they believe.

Personable, A President should be approachable and able to connect with people from all walks of life.Smart, A President should be intelligent as well as intuitive.Team Oriented, A President should be able to work web with others and build strong teams.Vision: A President should have a clear vision for the future and be able to communicate that vision effectively.Pragmatism: A President should be practical and able to get things done.
Consensus building: A President should be able to bring people together and build consensus.
Charisma: A President should be able to inspire and motivate others.Trustworthiness: A President should be honest and trustworthy.😊😊";0.0079722535;0.11973161;0.87229615
"These are the essential qualities a President of the United States should possess

Spiritually True: A strong abiding faith in God can provide the necessary optimism and faith to impart to the people the goodness and hope that is inherent **Strong in Character: A President should be honest, trustworthy, and have a strong moral compass. Wise A President should have good judgment and be able to make sound decisions.
Humble A President should be humble and willing to listen to others Defender of Natural Rights,  Liberties, & the Constitution: A President should be committed to upholding the rights and freedoms of all citizens A, President should be passionate about their work and committed to making a positive difference. Creative: A President should be creative and able to think outside the box
Patriotic,  A President should be proud of their country and committed to its success.
Vision, A President should have a clear vision for the future and be able to inspire others to work towards that vision Courageous, A President should be willing to take risks and stand up for what they believe.

Personable, A President should be approachable and able to connect with people from all walks of life.Smart, A President should be intelligent as well as intuitive.Team Oriented, A President should be able to work web with others and build strong teams.Vision: A President should have a clear vision for the future and be able to communicate that vision effectively.Pragmatism: A President should be practical and able to get things done.
Consensus building: A President should be able to bring people together and build consensus.
Charisma: A President should be able to inspire and motivate others.Trustworthiness: A President should be honest and trustworthy.😊😊";0.0079722535;0.11973161;0.87229615
"These are the essential qualities a President of the United States should possess

Spiritually True: A strong abiding faith in God can provide the necessary optimism and faith to impart to the people the goodness and hope that is inherent **Strong in Character: A President should be honest, trustworthy, and have a strong moral compass. Wise A President should have good judgment and be able to make sound decisions.
Humble A President should be humble and willing to listen to others Defender of Natural Rights,  Liberties, & the Constitution: A President should be committed to upholding the rights and freedoms of all citizens A, President should be passionate about their work and committed to making a positive difference. Creative: A President should be creative and able to think outside the box
Patriotic,  A President should be proud of their country and committed to its success.
Vision, A President should have a clear vision for the future and be able to inspire others to work towards that vision Courageous, A President should be willing to take risks and stand up for what they believe.

Personable, A President should be approachable and able to connect with people from all walks of life.Smart, A President should be intelligent as well as intuitive.Team Oriented, A President should be able to work web with others and build strong teams.Vision: A President should have a clear vision for the future and be able to communicate that vision effectively.Pragmatism: A President should be practical and able to get things done.
Consensus building: A President should be able to bring people together and build consensus.
Charisma: A President should be able to inspire and motivate others.Trustworthiness: A President should be honest and trustworthy.";0.008047941;0.12232921;0.8696228
Nikki coming after you trump;0.15949528;0.7131503;0.12735438
"These are the essential qualities a President of the United States should possess

Spiritually True: A strong abiding faith in God can provide the necessary optimism and faith to impart to the people the goodness and hope that is inherent **Strong in Character: A President should be honest, trustworthy, and have a strong moral compass. Wise A President should have good judgment and be able to make sound decisions.
Humble A President should be humble and willing to listen to others Defender of Natural Rights,  Liberties, & the Constitution: A President should be committed to upholding the rights and freedoms of all citizens A, President should be passionate about their work and committed to making a positive difference. Creative: A President should be creative and able to think outside the box
Patriotic,  A President should be proud of their country and committed to its success.
Vision, A President should have a clear vision for the future and be able to inspire others to work towards that vision Courageous, A President should be willing to take risks and stand up for what they believe.

Personable, A President should be approachable and able to connect with people from all walks of life.Smart, A President should be intelligent as well as intuitive.Team Oriented, A President should be able to work web with others and build strong teams.Vision: A President should have a clear vision for the future and be able to communicate that vision effectively.Pragmatism: A President should be practical and able to get things done.
Consensus building: A President should be able to bring people together and build consensus.
Charisma: A President should be able to inspire and motivate others.Trustworthiness: A President should be honest and trustworthy.";0.008047941;0.12232921;0.8696228
BH! Mazal Tov Sir!;0.004277031;0.063517116;0.93220586
Tim Scott, a true token foe trump.;0.17530912;0.6751118;0.1495791
"Nikki Haley has to know that the majority of the votes she got were
Democrats that voted for her!
She should do the right thing and get out, so Donald J Trump can  concentrate on defeating the corrupt Anti-American Democrat party!";0.74059576;0.22470082;0.034703393
Funny how Trump considers himself a winner, thinks the global warming is a hoax, and takes the USA out of the CDC... Shaking hands w Dictators...   and all along his supporters still can't see.......He's a Joke.....;0.7441787;0.2277824;0.02803891
"Majestic Heavenly Father God so Eternally Beautiful Magnificent Hallowed Be Thy Name Forevermore in the Name of King of Glory Jesus Your Only Son Eternally Radiant Matchless Splendors by the Power of the Holy Spirit.. for it's not by Might Nor by Power but by Your Spirit says The Lord..

We agree for President Donald J Trump and Melania and Baron and Eric and His family and Ivanka and Her Family and Don Jr to be protected vindicated exonerated and repositioned into the Office of President USA !";0.0067478474;0.050907988;0.9423441
I cannot see how this will help the XYZ generation. I rather see TRUMP as Vice President....mmm;0.8899896;0.10200448;0.008005927
Democrats funded NH to split the Republican & Independent voters, so we will have 4 more years of Biden. We must unite and vote Trump 2024.🇺🇸;0.23618355;0.55028814;0.21352829
And Heley in her garage cheered by dems thinks that she won ..!;0.06508492;0.4578216;0.47709355
It's good to have a leader who can unit the whole world;0.0096098;0.07599712;0.91439307
Exactly….. Nikki is not a patriot!   She is part of the deep state!! Words count.  Media is part of the deep state.  Beware ❤;0.9165672;0.074089095;0.009343774
Good luck Trumpers. No candidate in history has ever won by insulting 40% of the voters in their own party. Can you say Barry Goldwater?  Hubert Humphrey? Jimmy Carter? Start making your November excuse up now.;0.8416412;0.13447857;0.023880247
Go Trump!;0.028883558;0.19155157;0.7795649
#Trump2024 😎🇺🇲❤️;0.005381383;0.039188378;0.95543027
I see in a few comments that Dems voted for Haley. How does that happen? It doesn't. I spent less than 10' finding out that registered Dems cannot vote in a Republican primary. Where did you get your information?;0.5825359;0.40405008;0.013413974
"We need to get rid of cluess ""sue new hoo"" in NH";0.71461535;0.27092603;0.014458581
#Trump2024ToSaveAmerica #CleanTheSwamp #NikkiHaleyIsADemocratPlant #StopTheHateAgainstAmericansVoteTrump;0.7157871;0.22748779;0.05672506
TRUMP 2024;0.03505371;0.30880484;0.6561414
He got new teeth? or is it he just discovered a toothbrush?;0.018147482;0.837255;0.14459747
It was rigged!!! Fake voter's!!! Voting machines rigged by the chinese!!!!! Wheelbarrows full of Trump votes put in!!!! Demand a recount!!!! Threaten the workers and their families!!! And lie as much as you can!!!!. Donald J Trump. 2020.;0.9284589;0.06369595;0.00784509
